ABCFLOAT|FLOAT,FLOAT,FLOAT
LOGCOLORSPACEA|DWORD,DWORD,DWORD,LCSCSTYPE,LCSGAMUTMATCH,CIEXYZTRIPLE,DWORD,DWORD,DWORD,CHAR
LOGCOLORSPACEW|DWORD,DWORD,DWORD,LCSCSTYPE,LCSGAMUTMATCH,CIEXYZTRIPLE,DWORD,DWORD,DWORD,WCHAR
LOGFONTA|LONG,LONG,LONG,LONG,LONG,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,CHAR
LOGFONTW|LONG,LONG,LONG,LONG,LONG,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,WCHAR
LOGPALETTE|WORD,WORD,_Field_size_opt_(palNumEntries)
LOGPEN|UINT,POINT,COLORREF
MAT2|FIXED,FIXED,FIXED,FIXED
METAFILEPICT|LONG,LONG,LONG,HMETAFILE
METAHEADER|WORD,WORD,WORD,DWORD,WORD,DWORD,WORD
METARECORD|DWORD,WORD,WORD
NEWTEXTMETRICA|LONG,LONG,LONG,LONG,LONG,LONG,LONG,LONG,LONG,LONG,LONG,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,DWORD,UINT,UINT,UINT
NEWTEXTMETRICEXA|NEWTEXTMETRICA,FONTSIGNATURE
NEWTEXTMETRICEXW|NEWTEXTMETRICW,FONTSIGNATURE
NEWTEXTMETRICW|LONG,LONG,LONG,LONG,LONG,LONG,LONG,LONG,LONG,LONG,LONG,WCHAR,WCHAR,WCHAR,WCHAR,BYTE,BYTE,BYTE,BYTE,BYTE,DWORD,UINT,UINT,UINT
OUTLINETEXTMETRICA|UINT,TEXTMETRICA,BYTE,PANOSE,UINT,UINT,int,int,int,UINT,int,int,UINT,UINT,UINT,RECT,int,int,UINT,UINT,POINT,POINT,POINT,POINT,UINT,int,int,int,PSTR,PSTR,PSTR,PSTR
OUTLINETEXTMETRICW|UINT,TEXTMETRICW,BYTE,PANOSE,UINT,UINT,int,int,int,UINT,int,int,UINT,UINT,UINT,RECT,int,int,UINT,UINT,otmptSubscriptSize;,POINT,POINT,POINT,UINT,int,int,int,PSTR,PSTR,PSTR,PSTR
PALETTEENTRY|BYTE,BYTE,BYTE,BYTE
